"symbol"
"AARTIDRUGS"
"AARTIIND"
"AAVAS"
"ABB"
"ABFRL"
"ACC"
"ACCELYA"
"ADANIENT"
"ADANIGAS"
"ADANIGREEN"
"ADANIPORTS"
"ADANITRANS"
"ADORWELD"
"ADVENZYMES"
"AEGISCHEM"
"AFFLE"
"AIAENG"
"AJANTPHARM"
"AKSHARCHEM"
"AKZOINDIA"
"ALBERTDAVD"
"ALKEM"
"ALKYLAMINE"
"ALPHAGEO"
"AMARAJABAT"
"AMBER"
"AMBUJACEM"
"AMRUTANJAN"
"ANDHRAPAP"
"ANDHRSUGAR"
"APARINDS"
"APCOTEXIND"
"APEX"
"APLAPOLLO"
"APLLTD"
"APOLLO"
"APOLLOHOSP"
"APOLLOPIPE"
"APOLLOTYRE"
"ARMANFIN"
"ASALCBR"
"ASIANPAINT"
"ASTEC"
"ASTERDM"
"ASTRAL"
"ASTRAMICRO"
"ASTRAZEN"
"ATFL"
"ATUL"
"ATULAUTO"
"AUBANK"
"AUROPHARMA"
"AVADHSUGAR"
"AVANTIFEED"
"AXISBANK"
"BAJAJ-AUTO"
"BAJAJCON"
"BAJAJELEC"
"BAJAJFINSV"
"BAJAJHLDNG"
"BAJFINANCE"
"BALAMINES"
"BALKRISIND"
"BALMLAWRIE"
"BALRAMCHIN"
"BANDHANBNK"
"BANKBEES"
"Banknifty"
"BASF"
"BATAINDIA"
"BAYERCROP"
"BBL"
"BBTC"
"BDL"
"BEML"
"BERGEPAINT"
"BFINVEST"
"BFUTILITIE"
"BHAGERIA"
"BHARATFORG"
"BHARTIARTL"
"BIOCON"
"BIRLACORPN"
"BLUEDART"
"BLUESTARCO"
"BORORENEW"
"BPCL"
"BRIGADE"
"BRITANNIA"
"BSE"
"BUTTERFLY"
"CADILAHC"
"CANBK"
"CANFINHOME"
"CANTABIL"
"CAPLIPOINT"
"CARBORUNIV"
"CARERATING"
"CASTROLIND"
"CCL"
"CDSL"
"CEATLTD"
"CENTENKA"
"CENTUM"
"CENTURYPLY"
"CENTURYTEX"
"CESC"
"CGCL"
"CHALET"
"CHAMBLFERT"
"CHOLAFIN"
"CHOLAHLDNG"
"CIPLA"
"CLNINDIA"
"COALINDIA"
"COCHINSHIP"
"COLPAL"
"CONCOR"
"CONTROLPR"
"COROMANDEL"
"COSMOFILMS"
"CREDITACC"
"CRISIL"
"CROMPTON"
"CSBBANK"
"CUB"
"CUMMINSIND"
"CUPID"
"CYIENT"
"DABUR"
"DALBHARAT"
"DALMIASUG"
"DBL"
"DCAL"
"DCMSHRIRAM"
"DECCANCE"
"DEEPAKFERT"
"DEEPAKNTR"
"DHAMPURSUG"
"DHANUKA"
"DHUNINV"
"DIAMONDYD"
"DIVISLAB"
"DIXON"
"DLF"
"DMART"
"DOLLAR"
"DREDGECORP"
"DRREDDY"
"DTIL"
"DYNAMATECH"
"ECLERX"
"EIDPARRY"
"ELGIEQUIP"
"EMAMILTD"
"ENDURANCE"
"ERIS"
"ESCORTS"
"ESSELPACK"
"EVERESTIND"
"EXCELINDUS"
"EXIDEIND"
"FAIRCHEM"
"FDC"
"FIEMIND"
"FINCABLES"
"FINEORG"
"FINPIPE"
"FLFL"
"FLUOROCHEM"
"FORCEMOT"
"FORTIS"
"FRETAIL"
"GAIL"
"GALAXYSURF"
"GARFIBRES"
"GEPIL"
"GESHIP"
"GHCL"
"GICRE"
"GILLETTE"
"GLAXO"
"GLENMARK"
"GLOBUSSPR"
"GMMPFAUDLR"
"GNA"
"GNFC"
"GODFRYPHLP"
"GODREJAGRO"
"GODREJCP"
"GODREJIND"
"GODREJPROP"
"GOLDIAM"
"GPIL"
"GRANULES"
"GRAPHITE"
"GRASIM"
"GRINDWELL"
"GRSE"
"GSPL"
"GUJALKALI"
"GUJGASLTD"
"GULFOILLUB"
"H+A220:A270IL"
"HAL"
"HAVELLS"
"HCLTECH"
"HDFC"
"HDFCAMC"
"HDFCBANK"
"HDFCLIFE"
"HDFCMFGETF"
"HEG"
"HEIDELBERG"
"HERITGFOOD"
"HEROMOTOCO"
"HEXAWARE"
"HGINFRA"
"HGS"
"HIKAL"
"HINDALCO"
"HINDCOMPOS"
"HINDPETRO"
"HINDUNILVR"
"HINDZINC"
"HNDFDS"
"IBULHSGFIN"
"IBVENTURES"
"ICICIBANK"
"ICICIGI"
"ICICIPRULI"
"IGARASHI"
"IGL"
"IGPL"
"INDIACEM"
"INDIAGLYCO"
"INDIAMART"
"INDIANHUME"
"INDIGO"
"INDOCO"
"INDUSINDBK"
"INFRATEL"
"INFY"
"INGERRAND"
"INOXLEISUR"
"INSECTICID"
"IOLCP"
"IPCALAB"
"IRCTC"
"ISEC"
"ITC"
"ITDC"
"ITI"
"JBCHEPHARM"
"JBMA"
"JCHAC"
"JINDALPOLY"
"JINDALSTEL"
"JKCEMENT"
"JKLAKSHMI"
"JSWSTEEL"
"JUBILANT"
"JUBLFOOD"
"JUNIORBEES"
"JUSTDIAL"
"JYOTHYLAB"
"KAJARIACER"
"KALPATPOWR"
"KANSAINER"
"KEC"
"KEI"
"KIRIINDUS"
"KIRLOSBROS"
"KIRLOSENG"
"KITEX"
"KNRCON"
"KOLTEPATIL"
"KOTAKBANK"
"KPRMILL"
"KRBL"
"KSB"
"KSCL"
"KSL"
"LALPATHLAB"
"LAOPALA"
"LAURUSLABS"
"LGBBROSLTD"
"LIBERTSHOE"
"LICHSGFIN"
"LINCOLN"
"LINDEINDIA"
"LIQUIDBEES"
"LT"
"LTI"
"LTTS"
"LUMAXIND"
"LUPIN"
"LUXIND"
"M&M"
"M&MFIN"
"MAHEPC"
"MAHINDCIE"
"MAHLIFE"
"MAHLOG"
"MAHSCOOTER"
"MAHSEAMLES"
"MAITHANALL"
"MANAPPURAM"
"MANGLMCEM"
"MARICO"
"MARUTI"
"MASTEK"
"MAYURUNIQ"
"MCDOWELL-N"
"MCX"
"METROPOLIS"
"MFSL"
"MGL"
"MHRIL"
"MIDHANI"
"MINDAIND"
"MINDTREE"
"MOIL"
"MONTECARLO"
"MOTILALOFS"
"MPHASIS"
"MPSLTD"
"MSTCLTD"
"MUTHOOTCAP"
"MUTHOOTFIN"
"N100"
"NAM-INDIA"
"NATCOPHARM"
"NAUKRI"
"NAVINFLUOR"
"NELCO"
"NEOGEN"
"NESCO"
"NEULANDLAB"
"NH"
"NIACL"
"Nifty"
"NIITTECH"
"NRAIL"
"NUCLEUS"
"OAL"
"OBEROIRLTY"
"OCCL"
"OFSS"
"ORIENTELEC"
"ORIENTREF"
"ORISSAMINE"
"PANACEABIO"
"PAPERPROD"
"PEL"
"PERSISTENT"
"PETRONET"
"PFIZER"
"PGHL"
"PHILIPCARB"
"PHOENIXLTD"
"PIDILITIND"
"PIIND"
"PLASTIBLEN"
"PNBHOUSING"
"PNCINFRA"
"POLYCAB"
"POLYMED"
"POLYPLEX"
"POWERGRID"
"POWERINDIA"
"POWERMECH"
"PPAP"
"PRESTIGE"
"PRINCEPIPE"
"PSPPROJECT"
"PVR"
"QUESS"
"QUICKHEAL"
"RADICO"
"RAJESHEXPO"
"RALLIS"
"RAMCOCEM"
"RAMCOIND"
"RAMCOSYS"
"RATNAMANI"
"RAYMOND"
"RBL"
"RBLBANK"
"RECLTD"
"RELAXO"
"RELIANCE"
"REPCOHOME"
"RIIL"
"RITES"
"RKFORGE"
"RPGLIFE"
"RUCHI"
"RUPA"
"SAGCEM"
"SANDHAR"
"SBICARD"
"SBILIFE"
"SBIN"
"SESHAPAPER"
"SETFGOLD"
"SETFNIF50"
"SETFNIFBK"
"SFL"
"SHANKARA"
"SHILPAMED"
"SHOPERSTOP"
"SHRIRAMCIT"
"SIEMENS"
"SIS"
"SIYSIL"
"SKFINDIA"
"SMLISUZU"
"SOBHA"
"SOLARA"
"SOLARINDS"
"SOMANYCERA"
"SONATSOFTW"
"SPANDANA"
"SPARC"
"SRF"
"SRIPIPES"
"SRTRANSFIN"
"SSWL"
"STAR"
"STARPAPER"
"STRTECH"
"SUBROS"
"SUDARSCHEM"
"SUMICHEM"
"SUNCLAYLTD"
"SUNDARMFIN"
"SUNDRMFAST"
"SUNPHARMA"
"SUNTECK"
"SUNTV"
"SUPRAJIT"
"SUPREMEIND"
"SUVENPHAR"
"SWANENERGY"
"SWSOLAR"
"SYMPHONY"
"SYNGENE"
"TAJGVK"
"TATACHEM"
"TATACOMM"
"TATACONSUM"
"TATAELXSI"
"TATAINVEST"
"TATAMETALI"
"TATAMOTORS"
"TATASTEEL"
"TATASTLLP"
"TCI"
"TCNSBRANDS"
"TCS"
"TDPOWERSYS"
"TEAMLEASE"
"TECHM"
"TECHNOE"
"THANGAMAYL"
"THERMAX"
"THYROCARE"
"TIINDIA"
"TIMKEN"
"TINPLATE"
"TIPSINDLTD"
"TITAN"
"TNPL"
"TORNTPHARM"
"TORNTPOWER"
"TRENT"
"TTKPRESTIG"
"TVSMOTOR"
"TVTODAY"
"UBL"
"UFLEX"
"UJJIVAN"
"ULTRACEMCO"
"UNICHEMLAB"
"UPL"
"VAIBHAVGBL"
"VARROC"
"VBL"
"VEDL"
"VENKEYS"
"VGUARD"
"VINATIORGA"
"VIPIND"
"VISHNU"
"VMART"
"VOLTAMP"
"VOLTAS"
"VRLLOG"
"VSTIND"
"VSTTILLERS"
"VTL"
"WABAG"
"WATERBASE"
"WESTLIFE"
"WHEELS"
"WHIRLPOOL"
"WIPRO"
"WOCKPHARMA"
"WONDERLA"
"WSTCSTPAPR"
"ZEEL"
"ZENSARTECH"
"ZYDUSWELL"
